act,scene,type,character,text
Act 2,Scene 3,dialogue,Present,"I see a vacant seat . . . in the poor chimney corner,
and a crutch without an owner, carefully preserved. If these
shadows remain unaltered by the future, the child will die."
Act 2,Scene 3,dialogue,Scrooge,"No, no, kind Spirit! Say he will be spared!"
Act 2,Scene 3,dialogue,Present,"If these shadows remain unaltered by the future,
none other of my race will find him here. What then? If he be
like to die, he had better do it, and decrease the surplus
population."
Act 2,Scene 3,description,,"[Scrooge bows his head. We hear Bob‘s voice speak Scrooge’s
name.]"
Act 2,Scene 3,dialogue,Bob,Mr. Scrooge . . .
Act 2,Scene 3,dialogue,Scrooge,Huh? What’s that? Who calls?
Act 2,Scene 3,dialogue,Bob,"[His glass raised in a toast] I’ll give you Mr. Scrooge, the
Founder of the Feast!"
Act 2,Scene 3,dialogue,Scrooge,"Me, Bob? You toast me?"
Act 2,Scene 3,dialogue,Present,"Save your breath, Mr. Scrooge. You can’t be seen or
heard."
Act 2,Scene 3,dialogue,Mrs. Cratchit,"The Founder of the Feast, indeed! I wish I had
him here, that miser Scrooge. I’d give him a piece of my mind
to feast upon, and I hope he’d have a good appetite for it!"
Act 2,Scene 3,dialogue,Bob,My dear! Christmas Day!
Act 2,Scene 3,dialogue,Mrs. Cratchit,"It should be Christmas Day, I am sure, on
which one drinks the health of such an odious, stingy,
unfeeling man as Mr. Scrooge . . ."
Act 2,Scene 3,dialogue,Scrooge,"Oh. Spirit, must I? . . ."
Act 2,Scene 3,dialogue,Mrs. Cratchit,"You know he is, Robert! Nobody knows it
better than you do, poor fellow!"
Act 2,Scene 3,dialogue,Bob,"This is Christmas Day, and I should like to drink to
the health of the man who employs me and allows me to
earn my living and our support and that man is Ebenezer
Scrooge . . ."
Act 2,Scene 3,dialogue,Mrs. Cratchit,"I’ll drink to his health for your sake and the
day’s, but not for his sake . . . a Merry Christmas and a
Happy New Year to you, Mr. Scrooge, wherever you may be
this day!"
Act 2,Scene 3,dialogue,Scrooge,"Just here, kind madam . . . out of sight, out
of sight . . ."
Act 2,Scene 3,dialogue,Bob,"Thank you, my dear. Thank you."
Act 2,Scene 3,dialogue,Scrooge,"Thank you, Bob . . . and Mrs. Cratchit, too. No
one else is toasting me, . . . not now . . . not ever. Of that
I am sure . . ."
Act 2,Scene 3,dialogue,Bob,Children . . .
Act 2,Scene 3,dialogue,All,Merry Christmas to Mr. Scrooge.
Act 2,Scene 3,dialogue,Bob,"I’ll pay you sixpence, Tim, for my favorite song."
Act 2,Scene 3,dialogue,Tiny Tim,"Oh, Father, I’d so love to sing it, but not for pay.
This Christmas goose—this feast—you and Mother, my
brother and sisters close with me: that’s my pay—"
Act 2,Scene 3,dialogue,Bob,"Martha, will you play the notes on the lute, for Tiny
Tim’s song."
Act 2,Scene 3,dialogue,Belinda,"May I sing, too, Father?"
Act 2,Scene 3,dialogue,Bob,We’ll all sing.
Act 2,Scene 3,description,,"[They sing a song about a tiny child lost in the snow—probably
from Wordsworth’s poem. Tim sings the lead vocal; all chime in for
the chorus. Their song fades under, as the Ghost of Christmas
Present speaks.]"
Act 2,Scene 3,dialogue,Present,"Mark my words, Ebenezer Scrooge. I do not present
the Cratchits to you because they are a handsome, or brilliant
family. They are not handsome. They are not brilliant. They
are not well-dressed, or tasteful to the times. Their shoes are
not even waterproofed by virtue of money or cleverness
spent. So when the pavement is wet, so are the insides of
their shoes and the tops of their toes. These are the Cratchits,
Mr. Scrooge. They are not highly special. They are happy,
grateful, pleased with one another, contented with the time
and how it passes. They don’t sing very well, do they? But,
nonetheless, they do sing . . . [Pauses] think of that, Scrooge.
Fifteen shillings a week and they do sing . . . hear their song
until its end."
Act 2,Scene 3,dialogue,Scrooge,"I am listening. [The chorus sings full volume now,
until . . . the song ends here.] Spirit, it must be time for us to
take our leave. I feel in my heart that it is . . . that I must think
on that which I have seen here . . ."
Act 2,Scene 3,dialogue,Present,Touch my robe again . . .
Act 2,Scene 3,description,,"[Scrooge touches Present’s robe. The lights fade out on the
Cratchits, who sit, frozen, at the table. Scrooge and Present in a
spotlight now. Thunder, lightning, smoke. They are gone.]"
Act 2,Scene 4,description,,"[Marley appears D.L. in single spotlight. A storm brews. Thunder
and lightning. Scrooge and Present “fly” past, U. The storm
continues, furiously, and, now and again, Scrooge and Present
will zip past in their travels. Marley will speak straight out to the
audience.]"
Act 2,Scene 4,dialogue,Marley,"The Ghost of Christmas Present, my co-worker in
this attempt to turn a miser, flies about now with that very
miser, Scrooge, from street to street, and he points out partygoers on their way to Christmas parties. If one were to
judge from the numbers of people on their way to friendly
gatherings, one might think that no one was left at home to
give anyone welcome . . . but that’s not the case, is it? Every
home is expecting company and . . . [He laughs.] Scrooge is
amazed."
Act 2,Scene 4,description,,"[Scrooge and Present zip past again. The lights fade up around
them. We are in the Nephew’s home, in the living room. Present
and Scrooge stand watching the Nephew: Fred and his wife,
fixing the fire.]"
Act 2,Scene 4,dialogue,Scrooge,What is this place? We’ve moved from the mines!
Act 2,Scene 4,dialogue,Present,You do not recognize them?
Act 2,Scene 4,dialogue,Scrooge,It is my nephew! . . . and the one he married . . .
Act 2,Scene 4,description,,"[Marley waves his hand and there is a lightning flash. He
disappears.]"
Act 2,Scene 4,dialogue,Fred,"It strikes me as sooooo funny, to think of what he
said . . . that Christmas was a humbug, as I live! He
believed it!"
Act 2,Scene 4,dialogue,Wife,"More shame for him, Fred!"
Act 2,Scene 4,dialogue,Fred,"Well, he’s a comical old fellow, that’s the truth."
Act 2,Scene 4,dialogue,Wife,I have no patience with him.
Act 2,Scene 4,dialogue,Fred,"Oh, I have! I am sorry for him; I couldn’t be angry
with him if I tried. Who suffers by his ill whims? Himself,
always . . ."
Act 2,Scene 4,dialogue,Scrooge,"It’s me they talk of, isn’t it, Spirit?"
Act 2,Scene 4,dialogue,Fred,"Here, wife, consider this. Uncle Scrooge takes it into his
head to dislike us, and he won’t come and dine with us.
What’s the consequence?"
Act 2,Scene 4,dialogue,Wife,"Oh . . . you’re sweet to say what I think you’re about to
say, too, Fred . . ."
Act 2,Scene 4,dialogue,Fred,"What’s the consequence? He don’t lose much of a
dinner by it, I can telI you that!"
Act 2,Scene 4,dialogue,Wife,"Ooooooo, Fred! Indeed, I think he loses a very good
dinner . . . ask my sisters, or your bachelor friend, Topper . . .
ask any of them. They’ll tell you what old Scrooge, your
uncle, missed: a dandy meal!"
Act 2,Scene 4,dialogue,Fred,"Well, that’s something of a relief, wife. Glad to hear it!
[He hugs his wife. They laugh. They kiss.] The truth is, he misses
much yet. I mean to give him the same chance every year,
whether he likes it or not, for I pity him. Nay, he is my only
uncle and I feel for the old miser . . . but, I tell you, wife: I see my dear and perfect mother’s face on his own wizened
cheeks and brow: brother and sister they were, and I cannot
erase that from each view of him I take . . ."
Act 2,Scene 4,dialogue,Wife,"I understand what you say, Fred, and I am with you in
your yearly asking. But he never will accept, you know. He
never will."
Act 2,Scene 4,dialogue,Fred,"Well, true, wife. Uncle may rail at Christmas till he dies.
I think I shook him some with my visit yesterday . . .
[Laughing] I refused to grow angry . . . no matter how nasty
he became . . . [Whoops] It was HE who grew angry, wife!
[They both laugh now.]"
Act 2,Scene 4,dialogue,Scrooge,"What he says is true, Spirit . . ."
Act 2,Scene 4,dialogue,Fred and Wife,"Bah, humbug!"
Act 2,Scene 4,dialogue,Fred,"[Embracing his wife] There is much laughter in our
marriage, wife. It pleases me. You please me . . ."
Act 2,Scene 4,dialogue,Wife,"And you please me, Fred. You are a good man . . .
[They embrace.] Come now. We must have a look at the
meal . . . our guests will soon arrive . . . my sisters, Topper . . ."
Act 2,Scene 4,dialogue,Fred,"A toast first . . . [He hands her a glass] A toast to Uncle
Scrooge . . . [Fills their glasses]"
Act 2,Scene 4,dialogue,Wife,A toast to him?
Act 2,Scene 4,dialogue,Fred,"Uncle Scrooge has given us plenty of merriment, I am
sure, and it would be ungrateful not to drink to his health.
And I say . . . Uncle Scrooge!"
Act 2,Scene 4,dialogue,Wife,"[Laughing] You’re a proper loon,5 Fred . . . and I’m a
proper wife to you . . . [She raises her glass.] Uncle Scrooge!
[They drink. They embrace. They kiss.]"
Act 2,Scene 4,dialogue,Scrooge,"Spirit, please, make me visible! Make me audible!
I want to talk with my nephew and my niece!"
Act 2,Scene 4,description,,"[Calls out to them. The lights that light the room and Fred and wife
fade out. Scrooge and Present are alone, spotlit.]"
Act 2,Scene 4,dialogue,Present,"These shadows are gone to you now, Mr. Scrooge.
You may return to them later tonight in your dreams.
[Pauses] My time grows short, Ebenezer Scrooge. Look you
on me! Do you see how I’ve aged?"
Act 2,Scene 4,dialogue,Scrooge,"Your hair has gone gray! Your skin, wrinkled! Are
spirits’ lives so short?"
Act 2,Scene 4,dialogue,Present,"My stay upon this globe is very brief. It ends
tonight."
Act 2,Scene 4,dialogue,Scrooge,Tonight?
Act 2,Scene 4,dialogue,Present,At midnight. The time is drawing near!
Act 2,Scene 4,description,,[Clock strikes 11:45.]
Act 2,Scene 4,dialogue,Present,"Hear those chimes? In a quarter hour, my life will have been
spent! Look, Scrooge, man. Look you here."
Act 2,Scene 4,description,,[Two gnarled baby dolls are taken from Present‘s skirts.]
Act 2,Scene 4,dialogue,Scrooge,Who are they?
Act 2,Scene 4,dialogue,Present,"They are Man’s children, and they cling to me,
appealing from their fathers. The boy is Ignorance; the girl is
Want. Beware them both, and all of their degree, but most of
all beware this boy, for I see that written on his brow which is
doom, unless the writing be erased."
Act 2,Scene 4,description,,"[He stretches out his arm. His voice is now amplified: loudly and
oddly.]"
Act 2,Scene 4,dialogue,Scrooge,Have they no refuge or resource?
Act 2,Scene 4,dialogue,Present,"Are there no prisons? Are there no workhouses?
[Twelve chimes] Are there no prisons? Are there no
workhouses?"
Act 2,Scene 4,description,,"[A Phantom, hooded, appears in dim light, D., opposite.]"
Act 2,Scene 4,dialogue,Present,Are there no prisons? Are there no workhouses?
Act 2,Scene 4,description,,[Present begins to deliquesce. Scrooge calls after him.]
Act 2,Scene 4,dialogue,Scrooge,"Spirit, I’m frightened! Don’t leave me! Spirit!"
Act 2,Scene 4,dialogue,Present,Prisons? Workhouses? Prisons? Workhouses . . .
Act 2,Scene 4,description,,"[He is gone. Scrooge is alone now with the Phantom, who is, of
course, the Ghost of Christmas Future. The Phantom is
shrouded in black. Only its outstretched hand is visible from under
his ghostly garment.]"
Act 2,Scene 4,dialogue,Scrooge,"Who are you, Phantom? Oh, yes. I think I know
you! You are, are you not, the Spirit of Christmas Yet to
Come? [No reply] And you are about to show me the shadows
of the things that have not yet happened, but will happen in
time before us. Is that not so, Spirit? [The Phantom allows
Scrooge a look at his face. No other reply wanted here. A nervous
giggle here.] Oh, Ghost of the Future, I fear you more than any
Specter I have seen! But, as I know that your purpose is to do
me good and as I hope to live to be another man from what I
was, I am prepared to bear you company. [Future does not
reply, but for a stiff arm, hand and finger set, pointing forward.]
Lead on, then, lead on. The night is waning fast, and it is
precious time to me. Lead on, Spirit!"
Act 2,Scene 4,description,,"[Future moves away from Scrooge in the same rhythm and motion
employed at its arrival. Scrooge falls into the same pattern, a
considerable space apart from the Spirit. In the space between them,
Marley appears. He looks to Future and then to Scrooge. He claps
his hands. Thunder and lightning. Three Businessmen appear,
spotlighted singularly: One is D.L.; one is D.R.; one is U.C. Thus,
six points of the stage should now be spotted in light. Marley will
watch this scene from his position, C. Scrooge and Future are R.
and L. of C.]"
Act 2,Scene 4,dialogue,First Businessman,"Oh, no, I don’t know much about it either
way, I only know he’s dead."
Act 2,Scene 4,dialogue,Second Businessman,When did he die?
Act 2,Scene 4,dialogue,First Businessman,"Last night, I believe."
Act 2,Scene 4,dialogue,Second Businessman,"Why, what was the matter with him?
I thought he’d never die, really . . ."
Act 2,Scene 4,dialogue,First Businessman,"[Yawning] Goodness knows, goodness
knows . . ."
Act 2,Scene 4,dialogue,Third Businessman,What has he done with his money?
Act 2,Scene 4,dialogue,Second Businessman,I haven’t heard. Have you?
Act 2,Scene 4,dialogue,First Businessman,"Left it to his Company, perhaps. Money
to money; you know the expression . . ."
Act 2,Scene 4,dialogue,Third Businessman,"He hasn’t left it to me. That’s all I
know . . ."
Act 2,Scene 4,dialogue,First Businessman,"[Laughing] Nor to me . . . [Looks at Second
Businessman] You, then? You got his money???"
Act 2,Scene 4,dialogue,First Businessman,"[Laughing] Me, me, his money? Nooooo!"
Act 2,Scene 4,description,,[They all laugh.]
Act 2,Scene 4,dialogue,Third Businessman,"It’s likely to be a cheap funeral, for upon
my life, I don’t know of a living soul who’d care to venture to
it. Suppose we make up a party and volunteer?"
Act 2,Scene 4,dialogue,Second Businessman,"I don’t mind going if a lunch is
provided, but I must be fed, if I make one."
Act 2,Scene 4,dialogue,First Businessman,"Well, I am the most disinterested among
you, for I never wear black gloves, and I never eat lunch. But
I’ll offer to go, if anybody else will. When I come to think of
it, I’m not all sure that I wasn’t his most particular friend: for
we used to stop and speak whenever we met. Well, then . . .
bye, bye!"
Act 2,Scene 4,dialogue,Second Businessman,"Bye, bye . . ."
Act 2,Scene 4,dialogue,Third Businessman,"Bye, bye . . ."
Act 2,Scene 4,description,,"[They glide offstage in three separate directions. Their lights
follow them.]"
Act 2,Scene 4,dialogue,Scrooge,"Spirit, why did you show me this? Why do you
show me businessmen from my streets as they take the death
of Jacob Marley? That is a thing past. You are future!"
Act 2,Scene 4,description,,"[Jacob Marley laughs a long, deep laugh. There is a thunder clap
and lightning flash, and he is gone. Scrooge faces Future, alone on
stage now. Future wordlessly stretches out his arm-hand-andfingerset,
pointing into the distance, U. There, above them,
scoundrels “fly” by, half-dressed and slovenly. When this scene has
passed, a woman enters the playing area. She is almost at once
followed by a second woman; and then a man in faded black; and
then, suddenly, an old man, who smokes a pipe. The old man scares
the other three. They laugh, anxious.]"
Act 2,Scene 4,dialogue,First Woman,"Look here, old Joe, here’s a chance! If we
haven’t all three met here without meaning it!"
Act 2,Scene 4,dialogue,Old Joe,"You couldn’t have met in a better place. Come into
the parlor. You were made free of it long ago, you know;
and the other two ain’t strangers [He stands; shuts a door.
Shrieking] We’re all suitable to our calling. We’re well
matched. Come into the parlor. Come into the parlor . . . [They
follow him D. Scrooge and Future are now in their midst,
watching; silent. A truck comes in on which is set a small wall with fireplace and a screen of rags, etc. All props for the scene.] Let me
just rake this fire over a bit . . ."
Act 2,Scene 4,description,,"[He does. He trims his lamp with the stem of his pipe. The First
Woman throws a large bundle on to the floor. She sits beside it,
crosslegged, defiantly.]"
Act 2,Scene 4,dialogue,First Woman,"What odds then? What odds, Mrs. Dilber?
Every person has a right to take care of themselves. HE
always did!"
Act 2,Scene 4,dialogue,Mrs. Dilber,That’s true indeed! No man more so!
Act 2,Scene 4,dialogue,First Woman,"Why, then, don’t stand staring as if you was
afraid, woman! Who’s the wiser? We’re not going to pick
holes in each other’s coats, I suppose?"
Act 2,Scene 4,dialogue,Mrs. Dilber,"No, indeed! We should hope not!"
Act 2,Scene 4,dialogue,First Woman,"Very well, then! That’s enough. Who’s the
worse for the loss of a few things like these? Not a dead man,
I suppose?"
Act 2,Scene 4,dialogue,Mrs. Dilber,"[Laughing] No, indeed!"
Act 2,Scene 4,dialogue,First Woman,"If he wanted to keep ’em after he was dead,
the wicked old screw, why wasn’t he natural in his lifetime?
If he had been, he’d have had somebody to look after him
when he was struck with Death, instead of lying gasping out
his last there, alone by himself."
Act 2,Scene 4,dialogue,Mrs. Dilber,"It’s the truest word that was ever spoke. It’s a
judgment on him."
Act 2,Scene 4,dialogue,First Woman,"I wish it were a heavier one, and it should
have been, you may depend on it, if I could have laid my
hands on anything else. Open that bundle, old Joe, and let me
know the value of it. Speak out plain. I’m not afraid to be the
first, nor afraid for them to see it. We knew pretty well that
we were helping ourselves, before we met here, I believe. It’s
no sin. Open the bundle, Joe."
Act 2,Scene 4,dialogue,First Man,"No, no, my dear! I won’t think of letting you being
the first to show what you’ve . . . earned . . . earned from this.
I throw in mine."
Act 2,Scene 4,description,,"[He takes a bundle from his shoulder, turns it upside down, and
empties its contents out on to the floor.]"
Act 2,Scene 4,dialogue,First Man,"It’s not very extensive, see . . . seals . . . a pencil case . . . sleeve
buttons . . ."
Act 2,Scene 4,dialogue,First Woman,"Nice sleeve buttons, though . . ."
Act 2,Scene 4,dialogue,First Man,"Not bad, not bad . . . a brooch there . . ."
Act 2,Scene 4,dialogue,Old Joe,"Not really valuable, I’m afraid . . ."
Act 2,Scene 4,dialogue,First Man,"How much, old Joe?"
Act 2,Scene 4,dialogue,Old Joe,"[Writing on the wall with chalk] A pitiful lot, really.
Ten and six and not a sixpence more!"
Act 2,Scene 4,dialogue,First Man,You’re not serious!
Act 2,Scene 4,dialogue,Old Joe,"That’s your account and I wouldn’t give another
sixpence if I was to be boiled for not doing it. Who’s next?"
Act 2,Scene 4,dialogue,Mrs. Dilber,"Me! [Dumps out contents of her bundle] Sheets,
towels, silver spoons, silver sugar-tongs . . . some boots . . ."
Act 2,Scene 4,dialogue,Old Joe,"[Writing on wall] I always give too much to the
ladies. It’s a weakness of mine and that’s the way I ruin
myself. Here’s your total comin’ up . . . two pounds-ten . . . if
you asked me for another penny, and made it an open
question, I’d repent of being so liberal and knock off
half-a-crown."
Act 2,Scene 4,dialogue,First Woman,"And now do MY bundle, Joe."
Act 2,Scene 4,dialogue,Old Joe,"[Kneeling to open knots on her bundle] So many
knots, madam . . . [He drags out large curtains; dark] What do
you call this? Bed curtains!"
Act 2,Scene 4,dialogue,First Woman,"[Laughing] Ah, yes, bed curtains!"
Act 2,Scene 4,dialogue,Old Joe,"You don’t mean to say you took ’em down, rings
and all, with him lying there?"
Act 2,Scene 4,dialogue,First Woman,"Yes, I did, why not?"
Act 2,Scene 4,dialogue,Old Joe,"You were born to make your fortune and you’ll
certainly do it."
Act 2,Scene 4,dialogue,First Woman,"I certainly shan’t hold my hand, when I can
get anything in it by reaching it out, for the sake of such a
man as he was. I promise you, Joe. Don’t drop that lamp oil
on those blankets, now!"
Act 2,Scene 4,dialogue,Old Joe,His blankets?
Act 2,Scene 4,dialogue,First Woman,"Whose else’s do you think? He isn’t likely to
catch cold without ’em, I daresay."
Act 2,Scene 4,dialogue,Old Joe,I hope that he didn’t die of anything catching? Eh?
Act 2,Scene 4,dialogue,First Woman,"Don’t you be afraid of that. I ain’t so fond of
his company that I’d loiter about him for such things if he
did. Ah! You may look through that shirt till your eyes ache,
but you won’t find a hole in it, nor a threadbare place. It’s the
best he had, and a fine one, too. They’d have wasted it, if it
hadn’t been for me."
Act 2,Scene 4,dialogue,Old Joe,What do you mean “They’d have wasted it”?
Act 2,Scene 4,dialogue,First Woman,"Putting it on him to be buried in, to be sure.
Somebody was fool enough to do it, but I took it off again . . ."
Act 2,Scene 4,description,,"[She laughs, as do they all, nervously.]"
Act 2,Scene 4,dialogue,First Woman,"If calico ain’t good enough for such a purpose, it isn’t good
enough then for anything. It’s quite as becoming to the body.
He can’t look uglier than he did in that one!"
Act 2,Scene 4,dialogue,Scrooge,"[A low-pitched moan emits from his mouth; from the
bones.] OOOOOOOoooooOOOOOoooooOOOOOOOO
oooooOOOOOOoooooOO!"
Act 2,Scene 4,dialogue,Old Joe,"One pound six for the lot. [He produces a small
flannel bag filled with money. He divvies it out. He continues
to pass around the money as he speaks. All are laughing.]
That’s the end of it, you see! He frightened every one away
from him when he was alive, to profit us when he was dead!
Hah ha ha!"
Act 2,Scene 4,dialogue,All,HAHAHAHAhahahahahahah!
Act 2,Scene 4,dialogue,Scrooge,"OOoooOOoooOOOoooOOOoooOOoooOOoooOOOooo!
[He screams at them.] Obscene demons! Why not market the
corpse itself, as sell its trimming??? [Suddenly] Oh, Spirit, I see
it, I see it! This unhappy man—this stripped-bare corpse . . .
could very well be my own. My life holds parallel! My life
ends that way now!"
Act 2,Scene 4,description,,"[Scrooge backs into something in the dark behind his spotlight.
Scrooge looks at Future, who points to the corpse. Scrooge pulls
back the blanket. The corpse is, of course, Scrooge, who screams.
He falls aside the bed; weeping.]"
Act 2,Scene 4,dialogue,Scrooge,"Spirit, this is a fearful place. In leaving it, I shall not leave its
lesson, trust me. Let us go!"
Act 2,Scene 4,description,,[Future points to the corpse.]
Act 2,Scene 4,dialogue,Scrooge,"Spirit, let me see some tenderness connected with a death, or
that dark chamber, which we just left now, Spirit, will be
forever present to me."
Act 2,Scene 4,description,,"[Future spreads his robes again. Thunder and lightning. Lights up,
U., in the Cratchit home setting. Mrs. Cratchit and her daughters,
sewing]"
Act 2,Scene 4,dialogue,Tiny Tim's Voice,"[Off] And He took a child and set him in
the midst of them."
Act 2,Scene 4,dialogue,Scrooge,"[Looking about the room; to Future] Huh? Who
spoke? Who said that?"
Act 2,Scene 4,dialogue,Mrs. Cratchit,"[Puts down her sewing] The color hurts my
eyes. [Rubs her eyes] That’s better. My eyes grow weak
sewing by candlelight. I shouldn’t want to show your father
weak eyes when he comes home . . . not for the world! It
must be near his time . . ."
Act 2,Scene 4,dialogue,Peter,"[In corner, reading. Looks up from book] Past it, rather.
But l think he’s been walking a bit slower than usual these
last few evenings, Mother."
Act 2,Scene 4,dialogue,Mrs. Cratchit,"I have known him walk with . . . [Pauses] I
have known him walk with Tiny Tim upon his shoulder and
very fast indeed."
Act 2,Scene 4,dialogue,Peter,"So have I, Mother! Often!"
Act 2,Scene 4,dialogue,Daughter,So have I.
Act 2,Scene 4,dialogue,Mrs. Cratchit,"But he was very light to carry and his father
loved him so, that it was not trouble—no trouble. [Bob, at door]"
Act 2,Scene 4,dialogue,Mrs. Cratchit,And there is your father at the door.
Act 2,Scene 4,description,,"[Bob Cratchit enters. He wears a comforter. He is cold, forlorn.]"
Act 2,Scene 4,dialogue,Peter,Father!
Act 2,Scene 4,dialogue,Bob,"Hello, wife, children . . ."
Act 2,Scene 4,description,,[The daughter weeps; turns away from Cratchit.]
Act 2,Scene 4,dialogue,Bob,"Children! How good to see you all! And you, wife. And look
at this sewing! I’ve no doubt, with all your industry, we’ll
have a quilt to set down upon our knees in church on
Sunday!"
Act 2,Scene 4,dialogue,Mrs. Cratchit,"You made the arrangements today, then,
Robert, for the . . . service . . . to be on Sunday."
Act 2,Scene 4,dialogue,Bob,"The funeral. Oh, well, yes, yes, I did. I wish you could
have gone. It would have done you good to see how green a
place it is. But you’ll see it often. I promised him that I would
walk there on Sunday, after the service. [Suddenly]
My little, little child! My little child!"
Act 2,Scene 4,dialogue,All Children,"[Hugging him] Oh, Father . . ."
Act 2,Scene 4,dialogue,Bob,"[He stands] Forgive me. I saw Mr. Scrooge’s nephew,
who you know I’d just met once before, and he was so
wonderful to me, wife . . . he is the most pleasant-spoken
gentleman I’ve ever met . . . he said “I am heartily sorry for
it and heartily sorry for your good wife. If I can be of service
to you in any way, here’s where I live.” And he gave me
this card."
Act 2,Scene 4,dialogue,Peter,Let me see it!
Act 2,Scene 4,dialogue,Bob,"And he looked me straight in the eye, wife, and said,
meaningfully, “I pray you’ll come to me, Mr. Cratchit, if you
need some help. I pray you do.” Now it wasn’t for the sake of
anything that he might be able to do for us, so much as for
his kind way. It seemed as if he had known our Tiny Tim and
felt with us."
Act 2,Scene 4,dialogue,Mrs. Cratchit,I’m sure that he’s a good soul.
Act 2,Scene 4,dialogue,Bob,"You would be surer of it, my dear, if you saw and spoke
to him. I shouldn’t be at all surprised, if he got Peter a
situation."
Act 2,Scene 4,dialogue,Mrs. Cratchit,"Only hear that, Peter!"
Act 2,Scene 4,dialogue,Martha,"And then, Peter will be keeping company with
someone and setting up for himself!"
Act 2,Scene 4,dialogue,Peter,Get along with you!
Act 2,Scene 4,dialogue,Bob,"It’s just as likely as not, one of these days, though
there’s plenty of time for that, my dear. But however and
whenever we part from one another, I am sure we shall none
of us forget poor Tiny Tim—shall we?—or this first parting
that was among us?"
Act 2,Scene 4,dialogue,All Children,"Never, Father, never!"
Act 2,Scene 4,dialogue,Bob,"And when we recollect how patient and mild he was,
we shall not quarrel easily among ourselves, and forget poor
Tiny Tim in doing it."
Act 2,Scene 4,dialogue,All Children,"No, Father, never!"
Act 2,Scene 4,dialogue,Little Bob,"I am very happy, I am. I am. I am very happy."
Act 2,Scene 4,description,,"[Bob kisses his little son, as does Mrs. Cratchit, as do the other
children. The family is set now in one sculptural embrace. The
lighting fades to a gentle pool of light, tight on them.]"
Act 2,Scene 4,dialogue,Scrooge,"Specter, something informs me that our parting
moment is at hand. I know it, but I know not how I know it."
Act 2,Scene 4,description,,"[Future points to the other side of the stage. Lights out on
Cratchits. Future moves slowing, gliding. Scrooge follows.
Future points opposite. Future leads Scrooge to a wall and a
tombstone. He points to the stone.]"
Act 2,Scene 4,dialogue,Scrooge,"Am I that man those ghoulish parasites7 so gloated over?
[Pauses] Before I draw nearer to that stone to which you
point, answer me one question. Are these the shadows
of things that will be, or the shadows of things that MAY
be, only?"
Act 2,Scene 4,description,,"[Future points to the gravestone. Marley appears in light well U.
He points to grave as well. Gravestone turns front and grows to ten
feet high. Words upon it: Ebenezer Scrooge: Much smoke billows
now from the grave. Choral music here. Scrooge stands looking up
at gravestone. Future does not at all reply in mortals’ words, but
points once more to the gravestone. The stone undulates and glows.
Music plays, beckoning Scrooge. Scrooge reeling in terror]"
Act 2,Scene 4,dialogue,Scrooge,"Oh, no. Spirit! Oh, no, no!"
Act 2,Scene 4,description,,[Future’s finger still pointing]
Act 2,Scene 4,dialogue,Scrooge,"Spirit! Hear me! I am not the man I was. I will not be the man
I would have been but for this intercourse. Why show me
this, if I am past all hope?"
Act 2,Scene 4,description,,[Future considers Scrooge’s logic. His hand wavers.]
Act 2,Scene 4,dialogue,Scrooge,"Oh. Good Spirit, I see by your wavering hand that your good
nature intercedes for me and pities me. Assure me that I yet
may change these shadows that you have shown me by an
altered life!"
Act 2,Scene 4,description,,[Future’s hand trembles; pointing has stopped.]
Act 2,Scene 4,dialogue,Scrooge,"I will honor Christmas in my heart and try to keep it all the
year. I will live in the Past, the Present, and the Future. The
Spirits of all Three shall strive within me. I will not shut out
the lessons that they teach. Oh, tell me that I may sponge
away the writing that is upon this stone!"
Act 2,Scene 4,description,,"[Scrooge makes a desperate stab at grabbing Future’s hand. He
holds firm for a moment, but Future, stronger than Scrooge, pulls
away. Scrooge is on his knees, praying.]"
Act 2,Scene 4,dialogue,Scrooge,"Spirit, dear Spirit, I am praying before you. Give me a
sign that all is possible. Give me a sign that all hope for me
is not lost. Oh, Spirit, kind Spirit, I beseech thee: give me
a sign . . ."
Act 2,Scene 4,description,,"[Future deliquesces, slowly, gently. The Phantom’s hood and robe
drop gracefully to the ground in a small heap. Music in. There is
nothing in them. They are mortal cloth. The Spirit is elsewhere.
Scrooge has his sign. Scrooge is alone. Tableau. The light fades
to black.]"
Act 2,Scene 5,description,,"[The end of it. Marley, spotlighted, opposite Scrooge, in his bed,
spotlighted. Marley speaks to audience, directly.]"
Act 2,Scene 5,dialogue,Marley,"[He smiles at Scrooge.] The firm of Scrooge and
Marley is doubly blessed; two misers turned; one, alas, in
Death, too late; but the other miser turned in Time’s
penultimate nick.8 Look you on my friend, Ebenezer
Scrooge . . ."
Act 2,Scene 5,dialogue,Scrooge,"[Scrambling out of bed; reeling in delight] I will live in
the Past, in the Present, and in the Future! The Spirits of all
Three shall strive within me!"
Act 2,Scene 5,dialogue,Marley,"[He points and moves closer to Scrooge‘s bed.] Yes,
Ebenezer, the bedpost is your own. Believe it! Yes, Ebenezer,
the room is your own. Believe it!"
Act 2,Scene 5,dialogue,Scrooge,"Oh, Jacob Marley! Wherever you are, Jacob, know
ye that I praise you for this! I praise you . . . and heaven . . .
and Christmastime! [Kneels facing away from Marley] I say it
to you on my knees, old Jacob, on my knees! [He touches his
bed curtains.] Not torn down. My bed curtains are not at all
torn down! Rings and all, here they are! They are here: I am
here: the shadows of things that would have been, may now
be dispelled. They will be, Jacob! I know they will be!"
